100 400
0 27 51
0 55 0
0 59 82
10 19 73
10 27 87
10 29 13
10 79 73
11 31 89
11 82 19
12 20 10
12 21 45
12 25 77
12 5 72
12 72 86
13 18 10
13 49 3
13 52 73
14 20 84
14 59 68
14 62 99
14 97 69
15 18 19
15 20 32
15 56 5
15 63 76
15 65 48
15 85 29
15 91 8
16 12 44
16 17 64
16 20 64
16 58 5
17 27 21
17 30 44
17 88 11
18 34 16
18 45 81
18 57 46
18 85 78
18 87 55
19 15 95
19 4 88
19 99 53
1 48 68
1 63 26
1 94 53
20 25 16
20 30 87
20 52 70
20 87 93
21 13 25
21 14 84
21 20 0
21 5 68
21 54 32
21 68 95
21 85 50
21 92 76
22 39 99
22 56 69
24 11 17
24 4 68
24 46 38
24 55 52
24 57 80
24 77 29
25 26 83
25 33 94
25 37 53
25 46 10
25 60 85
25 66 38
25 70 44
25 83 94
25 9 90
26 41 3
26 69 97
26 74 42
27 12 67
27 14 93
27 58 79
27 82 52
27 84 72
27 88 82
27 97 72
28 18 4
28 21 26
28 68 20
28 69 86
29 20 33
29 33 48
29 69 52
29 85 98
29 93 31
2 79 64
2 92 23
30 35 36
30 36 17
30 39 12
30 6 89
30 69 56
30 7 10
31 0 69
31 44 82
31 79 31
31 92 47
32 29 52
32 45 60
32 83 57
32 93 55
33 20 72
33 23 67
34 13 14
34 20 85
34 22 71
34 54 28
34 57 35
34 7 9
34 9 47
35 66 95
35 72 89
35 73 54
36 15 83
36 5 62
36 50 100
36 7 93
36 73 39
37 10 66
37 12 16
38 80 73
38 92 27
39 14 75
39 31 87
39 70 87
39 84 51
3 27 17
3 45 19
3 58 43
40 22 94
40 41 2
40 43 18
41 1 65
41 5 87
41 79 28
41 81 42
42 70 86
42 88 26
42 90 11
43 15 23
43 23 56
43 35 1
43 68 7
43 9 95
44 47 99
44 74 37
44 92 32
45 15 52
45 52 85
45 85 7
45 97 5
46 30 60
46 71 22
46 85 79
46 97 79
46 99 13
47 23 57
47 24 51
47 28 46
47 60 23
47 68 3
47 70 42
48 14 100
48 16 30
48 55 24
48 69 54
48 90 83
48 99 61
49 20 40
49 54 89
49 56 88
4 46 79
4 66 99
4 8 64
4 81 100
4 83 48
50 57 27
50 58 36
51 13 9
51 32 24
51 36 41
51 55 29
51 70 59
51 91 24
51 93 86
52 28 15
52 29 58
52 54 50
52 77 4
53 45 59
53 85 83
54 81 67
55 63 40
55 85 54
55 87 83
56 18 25
56 79 78
56 86 17
57 20 24
57 93 19
58 13 52
58 47 17
58 5 76
58 77 17
58 90 41
59 28 43
59 72 75
5 1 58
5 35 99
5 45 44
5 54 26
5 76 72
5 90 41
60 22 62
60 32 75
60 68 21
60 76 37
60 86 91
60 94 92
61 20 8
62 21 27
62 49 50
62 56 68
62 8 22
62 80 53
62 86 29
63 21 42
63 6 26
63 84 10
63 91 79
64 27 57
64 54 99
64 73 29
64 85 65
64 98 13
65 10 0
65 23 72
65 26 54
65 46 81
65 84 85
66 21 81
66 23 10
66 31 84
66 50 11
66 70 8
67 49 3
67 86 86
68 43 63
68 87 50
68 99 20
69 23 80
69 29 87
69 31 22
69 97 79
6 41 92
6 44 54
6 5 7
6 58 15
6 77 95
6 84 0
70 0 89
70 44 68
70 65 37
70 72 62
70 79 2
70 84 27
70 90 44
70 99 66
71 55 69
71 62 98
71 7 74
71 93 43
72 0 18
72 44 22
72 49 73
72 56 80
72 69 92
74 39 31
74 43 95
74 51 68
74 59 43
75 11 0
75 31 78
75 36 29
75 75 14
75 85 56
76 15 67
76 16 77
76 28 86
76 96 81
77 16 66
77 24 10
77 74 71
78 28 0
78 40 46
78 45 42
78 5 58
78 70 40
78 80 30
79 11 19
79 22 32
79 34 63
79 5 32
79 64 55
79 80 38
79 90 20
79 94 25
7 19 40
7 26 20
7 41 35
7 52 58
7 83 14
80 30 3
80 62 75
80 71 11
80 87 45
81 61 99
81 89 80
82 15 72
82 54 8
82 6 48
83 53 2
83 69 2
84 10 82
84 23 96
84 36 79
84 42 60
84 92 59
85 18 61
85 74 57
86 17 66
86 23 67
86 3 99
86 6 29
86 69 59
86 8 94
86 80 73
86 88 52
87 81 40
87 86 64
87 90 28
88 25 90
88 3 70
88 48 96
89 40 67
89 43 100
8 42 88
8 5 15
8 63 4
90 13 70
90 19 0
90 25 2
90 52 27
91 4 8
91 79 29
91 90 89
92 46 73
92 79 32
92 80 14
93 38 9
93 4 97
93 45 77
93 6 23
93 7 67
93 71 8
94 25 48
94 44 32
94 5 73
94 59 45
94 7 59
95 66 64
95 70 66
96 19 53
96 3 5
96 42 32
96 54 21
96 78 7
96 84 6
97 16 87
97 19 25
97 21 28
98 51 26
98 99 75
99 25 21
99 30 57
99 60 36
99 88 6
99 93 16
9 27 56
9 70 42
9 87 57
